,english word,e_score,turkish word,score
72,gigo,-0.6,Yapmak,2.0
73,gj,2.0,gI,1.3
74,gl,1.3,GLA,2.5
75,gla,2.5,gn,1.2
76,gn,1.2,harika,2.7
77,gr8,2.7,grrr,-0.4
78,grrr,-0.4,GT,1.1
79,gt,1.1,h & k,2.3
80,h&k,2.3,hagd,2.2
81,hagd,2.2,Hagn,2.2
82,hagn,2.2,yaparım,1.2
83,hago,1.2,hak,1.9
84,hak,1.9,el,2.2
85,hand,2.2,kalp,3.2
86,heart,3.2,kalpler,3.3
87,hearts,3.3,hhoj,2.0
88,hhoj,2.0,sağ,0.9
89,hhok,0.9,hugz,2.0
90,hugz,2.0,sakatlık,1.9
91,hi5,1.9,Bilmiyorum,-0.4
92,idk,-0.4,buz,0.7
93,ijs,0.7,güzellik,1.9
94,ilu,3.4,Iluappi,2.7
95,iluaaf,2.7,Böylece,3.4
96,ily,3.4,Alia,2.6
97,ily2,2.6,virüs,0.7
98,iou,0.7,iyq,2.3
99,iyq,2.3,C 4 f,1.4
100,j4f,1.4,ј4г,1.7
101,j4g,1.7,jho,0.8
102,jho,0.8,Geyik yavrusu,1.0
103,jhomf,1.0,jj,1.0
104,jj,1.0,jk,0.9
105,jk,0.9,jp,0.8
106,jp,0.8,et al,0.9
107,jt,0.9,jw,1.6
108,jw,1.6,yealz,-1.2
109,jealz,-1.2,k4y,2.3
110,k4y,2.3,kfy,2.3
111,kfy,2.3,o,-3.2
112,kia,-3.2,kK,1.5
113,kk,1.5,kmuf,2.2
114,kmuf,2.2,l,2.0
115,l,2.0,L & R,2.2
116,l&r,2.2,laoj,1.3
117,laoj,1.3,lmao,2.9
118,lmao,2.9,lmbao,1.8
119,lmbao,1.8,lmfao,2.5
120,lmfao,2.5,lmso,2.7
121,lmso,2.7,lol,1.8
122,lol,1.8,lolz,2.7
123,lolz,2.7,lt,1.6
124,lts,1.6,bardak,2.6
125,ly,2.6,ly4e,2.7
126,ly4e,2.7,Leah,3.3
127,lya,3.3,LYB,3.0
128,lyb,3.0,lil,3.1
129,lyl,3.1,lylab,2.7
130,lylab,2.7,lylas,2.6
131,lylas,2.6,lylb,1.6
132,lylb,1.6,m8,1.4
133,m8,1.4,benim,-1.2
134,mia,-1.2,mml,2.0
135,mml,2.0,kalıp,-2.4
136,mofo,-2.4,muah,2.3
137,muah,2.3,ayrıldık,-1.0
138,mubar,-1.0,MUSM,0.9
139,musm,0.9,mwah,2.5
140,mwah,2.5,n1,1.9
141,n1,1.9,nbd,1.3
142,nbd,1.3,nbif,-0.5
143,nbif,-0.5,nfc,-2.7
144,nfc,-2.7,NFW,-2.4
145,nfw,-2.4,nh,2.2
146,nh,2.2,NIMBY,-0.8
147,nimby,-0.8,nimjd,-0.7
148,nimjd,-0.7,nimq,-0.2
149,nimq,-0.2,Nimy,-1.4
150,nimy,-1.4,nitropyridine,-1.5
151,nitl,-1.5,nme,-2.1
152,nme,-2.1,noyb,-0.7
153,noyb,-0.7,"Örneğin,",1.4
154,np,1.4,ntmu,1.4
155,ntmu,1.4,O-8,-0.5
156,o-8,-0.5,ο.ο,-0.8
157,o.o,-0.8,Ο.ο,-0.6
158,O.o,-0.6,ο.Ο,-0.6
159,o.O,-0.6,tamam,2.0
160,ok,1.2,ο_ο,-0.5
161,o_o,-0.5,Ο_ο,-0.5
162,O_o,-0.5,ο_Ο,-0.5
163,o_O,-0.5,turta,-2.4
164,pita,-2.4,lütfen,0.3
165,pls,0.3,plz,0.3
166,plz,0.3,pmbi,0.8
167,pmbi,0.8,pmfji,0.3
168,pmfji,0.3,pmji,0.7
169,pmji,0.7,tarafından,-2.6
170,po,-2.6,ptl,2.6
171,ptl,2.6,abilir,-1.1
172,pu,-1.1,qq,-2.2
173,qq,-2.2,qt,1.8
174,qt,1.8,R & R,2.4
175,r&r,2.4,ROFL,2.7
176,rofl,2.7,roflmao,2.5
177,roflmao,2.5,rotfl,2.6
178,rotfl,2.6,gyy,2.8
179,rotflmao,2.8,rotflmfao,2.5
180,rotflmfao,2.5,rotflol,3.0
181,rotflol,3.0,rotgl,2.9
182,rotgl,2.9,rotglmao,1.8
183,rotglmao,1.8,sapfu,-1.1
184,sapfu,-1.1,Yedi,2.8
185,sete,2.8,Sfetea,2.7
186,sfete,2.7,Sgtm,2.4
187,sgtm,2.4,tokat,0.6
188,slap,0.6,lahana salatası,2.1
189,slaw,2.1,brisbanetimes,-1.3
190,smh,-1.3,darmadağınıklık,-2.5
191,snafu,-2.5,altında,-1.0
192,sob,-1.0,güçsüz,2.3
193,swak,2.3,tgif,2.3
194,tgif,2.3,thks,1.4
195,thks,1.4,Teşekkürler,1.5
196,thx,1.5,ışın,2.3
197,tia,2.3,TMI,-0.3
198,tmi,-0.3,tnx,1.1
199,tnx,1.1,doğru,1.8
200,true,1.8,tx,1.5
201,tx,1.5,txs,1.1
202,txs,1.1,ty,1.6
203,ty,1.6,TYVM,2.5
204,tyvm,2.5,URW,1.9
205,urw,1.9,vbg,2.1
206,vbg,2.1,vbs,3.1
207,vbs,3.1,vip,2.3
208,vip,2.3,vwd,2.6
209,vwd,2.6,VWP,2.1
210,vwp,2.1,sallamak,-0.2
211,wag,-0.2,wd,2.7
212,wd,2.7,wilco,0.9
213,wilco,0.9,wp,1.0
214,wp,1.0,o ne lan,-2.8
215,wtf,-2.8,WTG,2.1
216,wtg,2.1,wth,-2.4
217,wth,-2.4,X-d,2.6
218,x-d,2.6,X-p,1.7
219,x-p,1.7,xd,2.8
220,xd,2.8,xlnt,3.0
221,xlnt,3.0,xoxo,3.0
222,xoxo,3.0,xoxozzz,2.3
223,xoxozzz,2.3,xp,1.6
224,xp,1.6,xqzt,1.6
225,xqzt,1.6,coşku,0.8
226,xtc,0.8,Yolo,1.1
227,yolo,1.1,yo-yo,0.4
228,yoyo,0.4,yvw,1.6
229,yvw,1.6,dır-dir,1.8
230,yw,1.8,ywia,2.5
231,ywia,2.5,zzz,-1.2
232,zzz,-1.2,^<_<,1.4
233,^<_<,1.4,^ ayı,-2.8
234,^urs,-2.8,terk etmek,-1.9
235,abandon,-1.9,terkedilmiş,-2.0
236,abandoned,-2.0,terk edenler,-1.9
237,abandoner,-1.9,terk,-1.6
238,abandoners,-1.9,vazgeçme,-2.4
239,abandoning,-1.6,vazgeçmeler,-1.7
240,abandonment,-2.4,terkeder,-1.3
241,abandonments,-1.7,kaçırılan,-2.3
242,abandons,-1.3,kaçırma,-2.8
243,abducted,-2.3,kaçırmalar,-2.0
244,abduction,-2.8,iğrenmek,-2.0
245,abductions,-2.0,nefret ettiğini,-2.4
246,abhor,-2.0,iğrenç,-3.1
247,abhorred,-2.4,tiksinen,-2.9
248,abhorrent,-3.1,yetenekleri,1.0
249,abhors,-2.9,kabiliyet,1.3
250,abilities,1.0,gemiye,0.1
251,ability,1.3,gelmeyen kimse,-1.1
252,aboard,0.1,Gelmeyenler,-0.8
253,absentee,-1.1,aklamak,1.2
254,absentees,-0.8,absolved,1.5
255,absolve,1.2,absolves,1.3
256,absolved,1.5,absolving,1.6
257,absolves,1.3,taciz,-3.2
258,absolving,1.6,istismar,-2.3
259,abuse,-3.2,Suiistimal,-2.6
260,abused,-2.3,kötüye kullanmak,-2.6
261,abuser,-2.6,suistimaller,-2.6
262,abusers,-2.6,kötüye,-2.0
263,abuses,-2.6,küfürbaz,-3.2
264,abusing,-2.0,Ağzı bozuk bir şekilde,-2.8
265,abusive,-3.2,abusiveness,-2.5
266,abusively,-2.8,abusivenesses,-3.0
267,abusiveness,-2.5,kabul etmek,1.6
268,abusivenesses,-3.0,acceptabilities,1.6
269,accept,1.6,kabul edilebilirlik,1.1
270,acceptabilities,1.6,kabul edilebilir,1.5
271,acceptability,1.1,acceptableness,1.3
272,acceptable,1.3,kabul,1.4
273,acceptableness,1.3,kabuller,0.9
274,acceptably,1.5,kabul edilmiş,0.4
275,acceptance,2.0,kabul eder,0.8
276,acceptances,1.7,kaza,-1.7
277,acceptant,1.6,tesadüfi,-0.3
278,acceptation,1.3,kazara,-1.4
279,acceptations,0.9,kazalar,-1.3
280,accepted,1.1,başarmak,1.8
281,accepting,1.6,başarılı,1.9
282,accepts,1.3,yapar,1.7
283,accident,-2.1,suçlama,-2.2
284,accidental,-0.3,suçlamalar,-1.3
285,accidentally,-1.4,suçlamak,-2.5
286,accidents,-1.3,sanık,-1.2
287,accomplish,1.8,suçluyor,-1.7
288,accomplished,1.9,itham,-0.7
289,accomplishes,1.7,ağrı,-1.6
290,accusation,-1.0,ağrıyordu,-1.6
291,accusations,-1.3,ağrıları,-1.0
292,accuse,-0.8,başarılabilir,1.3
293,accused,-1.2,ağrıyan,-2.2
294,accuses,-1.4,Edinilen,0.8
295,accusing,-0.7,Müktesebatının,0.1
296,ache,-1.6,Beraat,1.0
297,ached,-1.6,aklayan,1.3
298,aches,-1.0,hırçın,-1.7
299,achievable,1.3,aktif,1.1
300,aching,-2.2,aktiflik,0.6
301,acquit,0.8,activenesses,0.8
302,acquits,0.1,yeterli,0.9
303,acquitted,1.0,admirability,2.4
304,acquitting,1.3,takdire değer,2.6
305,acrimonious,-1.7,admirableness,2.2
306,active,1.7,takdire şayan,2.5
307,actively,1.3,amiral,1.3
308,activeness,0.6,amiraller,1.2
309,activenesses,0.8,admiralties,1.6
310,actives,1.1,hayranlık,2.5
311,adequate,0.9,beğeni,1.6
312,admirability,2.4,beğenmek,1.8
313,admirable,2.6,hayran,1.6
314,admirableness,2.2,hayranları,1.7
315,admirably,2.5,hayranlık duyulacaksa,1.5
316,admiral,1.3,hayranlıkla,2.3
317,admirals,1.5,Kabul et,0.8
318,admiralties,1.6,itiraf,1.2
319,admiralty,1.2,öğütlenen,-1.9
320,admiration,2.5,evlat edinmek,0.7
321,admirations,1.6,üçüncü bir aday olarak,0.7
322,admire,2.1,adorability,2.2
323,admired,2.3,tapılası,2.2
324,admirer,1.8,adorableness,2.5
325,admirers,1.7,adorably,2.1
326,admires,1.5,tapınma,2.9
327,admiring,1.6,tapınmalarına,2.2
328,admiringly,2.3,hayranlık duymak,2.6
329,admit,0.8,adored,1.8
330,admits,1.2,Aşk,3.0
331,admitted,0.4,adorers,2.1
332,admonished,-1.9,tapıyor,1.6
333,adopt,0.7,tapan,2.6
334,adopts,0.7,adoringly,2.4
335,adorability,2.2,süslüyor,0.9
336,adorable,2.2,süslü,0.8
337,adorableness,2.5,adorner,1.3
338,adorably,2.1,adorners,0.9
339,adoration,2.9,donatılmasını,1.0
340,adorations,2.2,süsleme,1.3
341,adore,2.6,süslemeler,0.8
342,adored,1.8,süsler,0.5
343,adorer,1.7,ileri,1.0
344,adorers,2.1,avantaj,1.4
345,adores,1.6,avantajlı,1.9
346,adoring,2.6,advantageousness,1.6
347,adoringly,2.4,avantajları,1.5
348,adorn,0.9,advantaging,1.6
349,adorned,0.8,macera,1.3
350,adorner,1.3,adventured,1.3
351,adorners,0.9,serüvenci,1.2
352,adorning,1.0,maceraperestler,0.9
353,adornment,1.3,maceralar,1.4
354,adornments,0.8,atılgan,1.7
355,adorns,0.5,adventuresomeness,1.3
356,advanced,1.0,dolandırıcı kadın,0.8
357,advantage,1.0,adventuresses,1.4
358,advantaged,1.4,Serüven,2.3
359,advantageous,1.5,serüvencilik,1.5
360,advantageously,1.9,maceracı,1.4
361,advantageousness,1.6,maceracılığının,1.7
362,advantages,1.5,maceracıları,1.2
363,advantaging,1.6,maceraperest,1.4
364,adventure,1.3,cesaretle,1.3
365,adventured,1.3,maceracılık,1.8
366,adventurer,1.2,hasım,-0.8
367,adventurers,0.9,düşmanlar,-1.0
368,adventures,1.4,karşıt fikir belirten,-1.2
369,adventuresome,1.7,adversatively,-0.1
370,adventuresomeness,1.3,adversatives,-1.0
371,adventuress,0.8,ters,-1.5
372,adventuresses,1.4,olumsuz olarak,-0.8
373,adventuring,2.3,adverseness,-0.6
374,adventurism,1.5,olumsuzluklar,-1.5
375,adventurist,1.4,sıkıntı,-1.3
376,adventuristic,1.7,etkilenmiş,-0.6
377,adventurists,1.2,sevgi,1.5
378,adventurous,1.4,Sevgiye,1.9
379,adventurously,1.3,affectionally,1.5
380,adventurousness,1.8,sevecen,1.9
381,adversarial,-1.5,sevgilerle,2.2
382,adversaries,-1.0,affectioned,1.8
383,adversary,-0.8,affectionless,-2.0
384,adversative,-1.2,etkilenen,-1.5
385,adversatively,-0.1,affronted,0.2
386,adversatives,-1.0,ağırlaştırmak,-2.5
387,adverse,-1.5,ağırlaştırılmış,-1.9
388,adversely,-0.8,ağırlaştırmaktadır,-1.9
389,adverseness,-0.6,ağırlaştırıcı,-1.2
390,adversities,-1.5,saldırmak,-1.3
391,adversity,-1.8,aggressed,-1.4
392,affected,-0.6,aggresses,-0.5
393,affection,2.4,saldirida,-0.6
394,affectional,1.9,saldırganlık,-0.6
395,affectionally,1.5,saldırganlığın olması,-1.3
396,affectionate,1.9,agresif,-1.3
397,affectionately,2.2,aggressivities,-1.4
398,affectioned,1.8,saldırgan,-2.7
399,affectionless,-2.0,saldırganlar,-2.7
400,affections,1.5,donakalmış,-1.9
401,afflicted,-1.5,çalkalayarak,-1.7
402,affronted,0.2,tedirgin,-0.1
403,aggravate,-2.5,tedirgin bir şekilde,-1.6
404,aggravated,-1.9,ajite,-1.3
405,aggravates,-1.9,karıştırmasız,-1.8
406,aggravating,-1.2,çalkalama,-1.0
407,aggress,-1.3,ajitasyonal,-1.2
408,aggressed,-1.4,ajitasyonları,-1.3
409,aggresses,-0.5,karıştırıcı,-1.4
410,aggressing,-0.6,karıştırıcılar,-2.1
411,aggression,-1.2,can atan,1.9
412,aggressions,-1.3,agonize edilmesi,-2.3
413,aggressive,-0.6,acılı,-1.8
414,aggressively,-1.3,agonises,-2.4
415,aggressiveness,-1.8,acı veren,-2.7
416,aggressivities,-1.4,mücadele vermekte,-2.3
417,aggressivity,-0.6,agonizingly,-2.3
418,aggressor,-0.8,ızdırap,-2.9
419,aggressors,-0.9,Katılıyorum,1.5
420,aghast,-1.9,agreeability,1.9
421,agitate,-1.7,hoş,2.8
422,agitated,-2.0,uyumluluk,1.3
423,agitatedly,-1.6,tatlılıkla,1.6
424,agitates,-1.4,anlaşma,2.2
425,agitating,-1.8,anlaşmalar,1.1
426,agitation,-1.0,alarm,-1.1
427,agitational,-1.2,alarmlı,-1.4
428,agitations,-1.3,korkutucu,-2.6
429,agitative,-1.3,alarmism,-0.3
430,agitato,-0.1,alarmists,-1.1
431,agitator,-1.4,yazık,-1.1
432,agitators,-2.1,uyarmak,1.2
433,agog,1.9,yabancılaştırma,-1.1
434,agonise,-2.1,canlı,0.6
435,agonised,-2.3,alerjik,-1.2
436,agonises,-2.4,izin vermek,0.9
437,agonising,-1.5,tek başına,-1.0
438,agonize,-2.3,Peki,1.0
439,agonized,-2.2,Amaze,2.5
440,agonizes,-2.3,şaşırmış,2.2
441,agonizing,-2.7,şaşılacak biçimde,2.1
442,agonizingly,-2.3,şaşkınlık,-0.7
443,agony,-1.8,şok yaşıyor,2.2
444,agree,1.5,şaşırtıyor,2.2
445,agreeability,1.9,inanılmaz,2.8
446,agreeable,1.8,Amazon,0.7
447,agreeableness,1.8,Amazonit,0.2
448,agreeablenesses,1.3,amazonlar,-0.1
449,agreeably,1.6,Amazontaşı,1.0
450,agreed,1.1,amazonstones,0.2
451,agreeing,1.4,hırslı,1.2
452,agreement,2.2,kararsız,0.5
453,agreements,1.1,amoral,-1.6
454,agrees,0.8,amoralism,-0.7
455,alarm,-1.4,amoralisms,-0.7
456,alarmed,-1.4,amoralities,-1.2
457,alarming,-0.5,ahlaksızlıktır,-1.5
458,alarmingly,-2.6,amorally,-1.0
459,alarmism,-0.3,Amoretti,0.2
460,alarmists,-1.1,amoretto,0.6
461,alarms,-1.1,amorettos,0.3
462,alas,-1.1,Amorino,1.2
463,alert,1.2,çapkın,1.6
464,alienation,-1.1,amoristic,1.0
465,alive,1.6,amorists,0.1
466,allergic,-1.2,seven,2.3
467,allow,0.9,aşık,1.8
468,alone,-1.0,amorously,2.3
469,alright,1.0,aşıklık,2.0
470,amaze,2.5,amorf,-0.2
471,amazed,2.2,biçimsiz,0.1
472,amazedly,2.1,biçimsizliği,0.3
473,amazement,2.5,Amort,-2.1
474,amazements,2.2,itfa,0.5
475,amazes,2.2,itfa edilmiş,0.8
476,amazing,2.8,amorti,0.6
477,amazon,0.7,amortismana tabi,0.5
478,amazonite,0.2,amortisman,0.6
479,amazons,-0.1,amortizations,0.2
480,amazonstone,1.0,Amortize,-0.1
481,amazonstones,0.2,Amorti,0.8
482,ambitious,2.1,amusable,0.7
483,ambivalent,0.5,eğlenerek,1.8
484,amor,3.0,amusedly,2.2
485,amoral,-1.6,eğlence,1.7
486,amoralism,-0.7,eğlenceleri,1.5
487,amoralisms,-0.7,eğlendirmek,1.1
488,amoralities,-1.2,amusers,1.3
489,amorality,-1.5,amusia,0.3
490,amorally,-1.0,amusias,-0.4
491,amoretti,0.2,eğlenceli,1.6
492,amoretto,0.6,eğlendirici bir şekilde,0.8
493,amorettos,0.3,amusingness,1.8
494,amorino,1.2,Amusive,1.7
495,amorist,1.6,öfke,-2.7
496,amoristic,1.0,kızdırdı,-2.2
497,amorists,0.1,angerly,-1.9
498,amoroso,2.3,öfkeler,-2.3
499,amorous,1.8,sinirli,-3.1
500,amorously,2.3,öfkeyle,-1.8
501,amorousness,2.0,angriness,-1.7
502,amorphous,-0.2,kızgın,-1.6
503,amorphously,0.1,anguishes,-2.1
504,amorphousness,0.3,anguishing,-2.7
505,amort,-2.1,düşmanlık,-1.9
506,amortise,0.5,kızdırmak,-1.9
507,amortised,-0.2,can sıkma,-1.8
508,amortises,0.1,annoyer,-2.2
509,amortizable,0.5,annoyers,-1.5
510,amortization,0.6,Can sıkıcı,-1.3
511,amortizations,0.2,kızdıramaz,-1.8
512,amortize,-0.1,zıtlık,-1.9
513,amortized,0.8,antagonizmalarda,-1.2
514,amortizes,0.6,rakip,-1.9
515,amortizing,0.8,muhalif,-1.7
516,amusable,0.7,antagonist,-2.7
517,amuse,1.7,antagonistleri,-1.7
518,amused,1.8,kışkırtmak,-2.0
519,amusedly,2.2,antagonize,-0.5
520,amusement,1.5,anti,-1.3
521,amusements,1.5,Beklenti,0.4
522,amuser,1.1,kaygılar,-0.6
523,amusers,1.3,kaygı,-0.7
524,amuses,1.7,endişeli,-1.0
525,amusia,0.3,endişeyle,-0.9
526,amusias,-0.4,anxiousness,-1.0
527,amusing,1.6,ilgisiz,-1.2
528,amusingly,0.8,apathetically,-0.4
529,amusingness,1.8,apathies,-0.6
530,amusive,1.7,ilgisizlik,-1.2
531,anger,-2.7,apeshit,-0.9
532,angered,-2.3,kıyamet,-3.4
533,angering,-2.2,özür dilemek,0.4
534,angerly,-1.9,özür diledi,1.3
535,angers,-2.3,özür diledin,0.8
536,angrier,-2.3,özür dileme,-0.3
537,angriest,-3.1,özür diler,1.5
538,angrily,-1.8,özür,0.2
539,angriness,-1.7,yıldırmak,-2.4
540,angry,-2.3,dehşete,-2.0
541,anguish,-2.9,korkunç,-2.0
542,anguished,-1.8,dehşet verici,-2.0
543,anguishes,-2.1,Korkutur,-1.9
544,anguishing,-2.7,yatıştırmak,1.1
545,animosity,-1.9,bastırılmış,0.9
546,annoy,-1.9,appeases,0.9
547,annoyance,-1.3,appeasing,1.0
548,annoyances,-1.8,alkışlamak,2.0
549,annoyed,-1.6,alkışladı,2.3
550,annoyer,-2.2,alkışlıyor,1.4
551,annoyers,-1.5,alkış,1.8
552,annoying,-1.7,takdir etmek,1.7
553,annoys,-1.8,takdir,2.3
554,antagonism,-1.9,Kazanması,2.3
555,antagonisms,-1.2,takdir edilecek şekilde kıymet,1.9
556,antagonist,-1.9,appreciations,1.7
557,antagonistic,-1.7,minnettar,2.6
558,antagonistically,-2.2,appreciatively,1.8
559,antagonists,-1.7,appreciativeness,1.6
560,antagonize,-2.0,appreciator,2.6
561,antagonized,-1.4,uygulayıcılar,1.5
562,antagonizes,-0.5,değerini bilen,1.7
563,antagonizing,-2.7,anlaşılabilir,1.1
564,anti,-1.3,apprehensibly,-0.2
565,anticipation,0.4,endişe,-2.1
566,anxieties,-0.6,endişeler,-0.9
567,anxiety,-0.7,kaygılı bir şekilde,-0.3
568,anxious,-1.0,apprehensiveness,-0.7
569,anxiously,-0.9,onay,2.1
570,anxiousness,-1.0,onaylandı,1.8
571,aok,2.0,onaylar,1.7
572,apathetic,-1.2,ateşli,2.1
573,apathetically,-0.4,tartışılabilir,-1.0
574,apathies,-0.6,tartışılır biçimde,-1.0
575,apathy,-1.2,tartışmak,-1.6
576,apeshit,-0.9,savundu,-1.5
577,apocalyptic,-3.4,tartışabilen insanlar haline,-1.4
578,apologise,1.6,savunuyor,-1.6
579,apologised,0.4,Tartışan,-2.0
580,apologises,0.8,tartışma,-1.5
581,apologising,0.2,münakaşacı,-1.5
582,apologize,0.4,argumentatively,-1.8
583,apologized,1.3,argümanlar,-1.7
584,apologizes,1.5,tutuklamak,-1.4
585,apologizing,-0.3,tutuklandı,-2.1
586,apology,0.2,tutuklamalar,-1.9
587,appall,-2.4,kibir,-2.4
588,appalled,-2.0,arrogances,-1.9
589,appalling,-1.5,kibirli,-2.2
590,appallingly,-2.0,küstahça,-1.8
591,appalls,-1.9,utanmış,-2.1
592,appease,1.1,utana sıkıla,-1.7
593,appeased,0.9,eşek,-2.5
594,appeases,0.9,suikast,-2.9
595,appeasing,1.0,suikastlar,-2.7
596,applaud,2.0,saldırı,-2.1
597,applauded,1.5,saldırıya,-2.0
598,applauding,2.1,saldırıdan,-2.3
599,applauds,1.4,saldırılar,-1.9
600,applause,1.8,varlık,1.5
601,appreciate,1.7,varlıklar,0.7
602,appreciated,2.3,assfucking,-2.5
603,appreciates,2.3,götler,-2.8
604,appreciating,1.9,sigorta,1.4
605,appreciation,2.3,temin etmek,1.4
606,appreciations,1.7,emin,1.5
607,appreciative,2.6,kesinlikle,1.7
608,appreciatively,1.8,pişkinlik,1.4
609,appreciativeness,1.6,sağlamak,0.9
610,appreciator,2.6,assurers,1.1
611,appreciators,1.5,güvence veriyor,1.3
612,appreciatory,1.7,assurgent,1.3
613,apprehensible,1.1,güvence,1.6
614,apprehensibly,-0.2,sigortacı,0.5
615,apprehension,-2.1,sigorta şirketi,0.7
616,apprehensions,-0.9,hayret,1.6
617,apprehensively,-0.3,astound,1.7
618,apprehensiveness,-0.7,hayretler,1.8
619,approval,2.1,şaşırtıcı,2.1
620,approved,1.8,şaşkına,2.1
621,approves,1.7,ek dosya,1.2
622,ardent,2.1,ekleri,1.1
623,arguable,-1.0,saldırma,-2.0
624,arguably,-1.0,çekmek,1.5
625,argue,-1.4,attractancy,0.9
626,argued,-1.5,cezbedici,1.4
627,arguer,-1.6,çekti,1.8
628,arguers,-1.4,cazip,2.1
629,argues,-1.6,cazibe,2.0
630,arguing,-2.0,konumlar,1.8
631,argument,-1.5,çekici,1.3
632,argumentative,-1.5,çekicilik,1.7
633,argumentatively,-1.8,attractivenesses,2.1
634,argumentive,-1.5,cazibe merkezi,1.2
635,arguments,-1.7,çekiciler,1.2
636,arrest,-1.4,çeken,1.7
637,arrested,-2.1,cüretli,0.9
638,arrests,-1.9,yetki,0.3
639,arrogance,-2.4,hoşlanmama,-1.9
640,arrogances,-1.9,Tiksinme,-1.1
641,arrogant,-2.2,caydırıcı,-1.6
642,arrogantly,-1.8,aversively,-0.8
643,ashamed,-2.1,AVERT,-0.7
644,ashamedly,-1.7,önlendiği,-0.3
645,ass,-2.5,önlendi,-0.4
646,assassination,-2.9,önlemek,-1.2
647,assassinations,-2.7,kaçınma,-1.4
648,assault,-2.8,kaçınmalar,-1.1
649,assaulted,-2.4,kaçınılması,-1.4
650,assaulting,-2.3,avoider,-1.8
651,assaultive,-2.8,kaçınan,-1.4
652,assaults,-2.5,kaçınır,-0.7
653,asset,1.5,bekliyoruz,0.4
654,assets,0.7,beklenen,-0.1
655,assfucking,-2.5,bekliyor,0.3
656,assholes,-2.8,ödül,2.5
657,assurance,1.4,ödül veresimiz pek,2.4
658,assurances,1.4,layık görülmek,1.7
659,assure,1.4,awardee,1.8
660,assured,1.5,ödül alanlar,1.2
661,assuredly,1.6,ödül kazanan,0.9
662,assuredness,1.4,awarders,1.3
663,assurer,0.9,ödüllendirilmesi,1.9
664,assurers,1.1,ödülleri,2.0
665,assures,1.3,müthiş,3.1
666,assurgent,1.3,garip,-0.6
667,assuring,1.6,beceriksizce,-1.3
668,assuror,0.5,beceriksizlik,-0.7
669,assurors,0.7,eksen,-0.4
670,astonished,1.6,sarstım,-1.3
671,astound,1.7,destekli,0.1
672,astounded,1.8,arkalık,0.1
673,astounding,1.8,sırtları,-0.2
674,astoundingly,2.1,kötü,-2.1
675,astounds,2.1,sağlam,1.4
676,attachment,1.2,kefaletle kurtarmak,-0.4
677,attachments,1.1,şaşırtmak,-0.9
678,attack,-2.1,Bamboozled,-1.5
679,attacked,-2.0,Bamboozles,-1.5
680,attacker,-2.7,yarım,-2.6
681,attackers,-2.7,sürgün etmek,-1.9
682,attacking,-2.0,iflas etti,-2.6
